Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
ADANIPOWER,ADANI POWER LIMITED (XNSE:ADANIPOWER),7389895.01,ADANIPOWER.NS
INDIGO,INTERGLOBE AVIATION LIMITED (XNSE:INDIGO),7366455.65,INDIGO.NS
CIPLA,CIPLA LIMITED (XNSE:CIPLA),7268331.09,CIPLA.NS
AMBUJACEM,AMBUJA CEMENTS LIMITED (XNSE:AMBUJACEM),7258526.13,AMBUJACEM.NS
SRF,SRF LIMITED (XNSE:SRF),7149322.14,SRF.NS
ABB,ABB India Limited (XNSE:ABB),7131034.68,ABB.NS
BEL,BHARAT ELECTRONICS LIMITED (XNSE:BEL),7130689.25,BEL.NS
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED (XNSE:SBICARD),7002842.63,SBICARD.NS
GAIL,GAIL (India) Limited,6913717.28,GAIL.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited. (XNSE:BAJAJHLDNG),6588687.09,BAJAJHLDNG.NS
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),6585299.08,TATACONSUM.NS
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED (XNSE:ICICIPRULI),6267855.57,ICICIPRULI.NS
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED (XNSE:CHOLAFIN),6258110.63,CHOLAFIN.NS
MARICO,MARICO LIMITED (XNSE:MARICO),6204090.84,MARICO.NS
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED (XNSE:APOLLOHOSP),6198412.78,APOLLOHOSP.NS
TATAPOWER,THE TATA POWER COMPANY LIMITED (XNSE:TATAPOWER),6079133.49,TATAPOWER.NS
BOSCHLTD,Bosch Limited (XNSE:BOSCHLTD),5712888.57,BOSCHLTD.NS
BERGEPAINT,BERGER PAINTS INDIA LIMITED (XNSE:BERGEPAINT),5650764.6,BERGEPAINT.NS
JINDALSTEL,JINDAL STEEL AND POWER LIMITED (XNSE:JINDALSTEL),5571721.19,JINDALSTEL.NS
MCDOWELL-N,United Spirits Limited (XNSE:MCDOWELL-N),5500954.5,MCDOWELL-N.NS
UPL,UPL LIMITED (XNSE:UPL),5386735.74,UPL.NS
AWL,ADANI WILMAR LIMITED (XNSE:AWL),5274745.62,AWL.NS
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED (XNSE:ICICIGI),5252550.89,ICICIGI.NS
TORNTPHARM,TORRENT PHARMACEUTICALS LTD (XNSE:TORNTPHARM),5202414.08,TORNTPHARM.NS
CANBK,THE CANARA BANK LIMITED (XNSE:CANBK),5160293.5,CANBK.NS
PNB,Punjab National Bank (XNSE:PNB),5131133.25,PNB.NS
TVSMOTOR,TVS MOTOR COMPANY LIMITED (XNSE:TVSMOTOR),5117638.39,TVSMOTOR.NS
ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED (XNSE:ZYDUSLIFE),4975489.45,ZYDUSLIFE.NS
TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED (XNSE:TIINDIA),4917996.11,TIINDIA.NS
TRENT,TRENT LIMITED (XNSE:TRENT),4887774.85,TRENT.NS
IDBI,IDBI Bank Limited (XNSE:IDBI),4838580.98,IDBI.NS
NAUKRI,Info Edge (India) Limited,4810235.3,NAUKRI.NS
SHRIRAMFIN,SHRIRAM FINANCE LIMITED (XNSE:SHRIRAMFIN),4715537.11,SHRIRAMFIN.NS
HEROMOTOCO,Hero MotoCorp Limited (XNSE:HEROMOTOCO),4690937.62,HEROMOTOCO.NS
INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED (XNSE:INDHOTEL),4607068.51,INDHOTEL.NS
PIIND,PI INDUSTRIES LIMITED (XNSE:PIIND),4597362.41,PIIND.NS
IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED (XNSE:IRCTC),4582400,IRCTC.NS
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED (XNSE:CGPOWER),4582157.87,CGPOWER.NS
UNIONBANK,UNION BANK OF INDIA LIMITED (XNSE:UNIONBANK),4548524.44,UNIONBANK.NS
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED (XNSE:MOTHERSON),4546978.74,MOTHERSON.NS
CUMMINSIND,CUMMINS INDIA LIMITED (XNSE:CUMMINSIND),4517251.2,CUMMINSIND.NS
SCHAEFFLER,SCHAEFFLER INDIA LIMITED (XNSE:SCHAEFFLER),4482085.89,SCHAEFFLER.NS
LODHA,MACROTECH DEVELOPERS LIMITED (XNSE:LODHA),4482081.89,LODHA.NS
ZOMATO,Zomato Limited (XNSE:ZOMATO),4362289.98,ZOMATO.NS
PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED (XNSE:PGHH),4330148.57,PGHH.NS
YESBANK,YES BANK LIMITED (XNSE:YESBANK),4327568.69,YESBANK.NS
POLYCAB,POLYCAB INDIA LIMITED (XNSE:POLYCAB),4313091.31,POLYCAB.NS
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED (XNSE:MAXHEALTH),4282467.47,MAXHEALTH.NS
IOB,Indian Overseas Bank (XNSE:IOB),4243591.55,IOB.NS
PAGEIND,PAGE INDUSTRIES LIMITED (XNSE:PAGEIND),4227686.32,PAGEIND.NS
COLPAL,Colgate Palmolive (India) Limited,4099775.45,COLPAL.NS
ASHOKLEY,ASHOK LEYLAND LIMITED (XNSE:ASHOKLEY),4087089.17,ASHOKLEY.NS
ALKEM,ALKEM LABORATORIES LIMITED (XBOM:539523),4060546.97,ALKEM.NS
NHPC,NHPC Limited (XNSE:NHPC),4038103.99,NHPC.NS
PAYTM,ONE 97 COMMUNICATIONS LIMITED (XNSE:PAYTM),4035963.37,PAYTM.NS
PFC,POWER FINANCE CORPORATION LIMITED (XNSE:PFC),4006323.54,PFC.NS
JSWENERGY,JSW ENERGY LIMITED (XNSE:JSWENERGY),3961201.35,JSWENERGY.NS
