Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
ELGIEQUIP,ELGI EQUIPMENTS LIMITED (XNSE:ELGIEQUIP),1388536.85,ELGIEQUIP.NS
ISEC,ICICI SECURITIES LIMITED (XNSE:ISEC),1382035.3,ISEC.NS
CGCL,Capri Global Capital Limited (XNSE:CGCL),1362979.53,CGCL.NS
GODREJIND,GODREJ INDUSTRIES LIMITED (XNSE:GODREJIND),1359513.6,GODREJIND.NS
CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED (XNSE:CLEAN),1346985.76,CLEAN.NS
MAZDOCK,Mazagon Dock Shipbuilders Ltd (XNSE:MAZDOCK),1337305.55,MAZDOCK.NS
MAHINDCIE,MAHINDRA AND MAHINDRA LIMITED (XNSE:M&M),1330803.22,MAHINDCIE.NS
AEGISCHEM,AEGIS LOGISTICS LIMITED (XNSE:AEGISCHEM),1330114.5,AEGISCHEM.NS
FACT,Fertilizers and Chemicals Travancore Limited,1329085.83,FACT.NS
BLUESTARCO,BLUE STAR LIMITED (XNSE:BLUESTARCO),1328312.99,BLUESTARCO.NS
SANOFI,Sanofi India Limited (XNSE:SANOFI),1320898.29,SANOFI.NS
FINEORG,FINE ORGANIC INDUSTRIES LIMITED (XNSE:FINEORG),1320494.51,FINEORG.NS
AFFLE,AFFLE (INDIA) LIMITED (XBOM:542752),1315321.21,AFFLE.NS
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED (XNSE:GLENMARK),1311235.42,GLENMARK.NS
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED (XNSE:NAM-INDIA),1308980.02,NAM-INDIA.NS
SJVN,SJVN Limited (XNSE:SJVN),1306656.9,SJVN.NS
REDINGTON,REDINGTON LIMITED (XNSE:REDINGTON),1302471.02,REDINGTON.NS
AAVAS,AAVAS FINANCIERS LIMITED (XNSE:AAVAS),1273408.6,AAVAS.NS
IDFC,IDFC Limited (XNSE:IDFC),1256787.77,IDFC.NS
FINCABLES,FINOLEX CABLES LIMITED (XNSE:FINCABLES),1242785.12,FINCABLES.NS
NUVOCO,NUVOCO VISTAS CORPORATION LIMITED (XNSE:NUVOCO),1231831.57,NUVOCO.NS
BAJAJELEC,BAJAJ ELECTRICALS LIMITED (XNSE:BAJAJELEC),1210480.64,BAJAJELEC.NS
APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED (XNSE:APTUS),1209715.48,APTUS.NS
SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED (XNSE:SUVENPHAR),1202564.85,SUVENPHAR.NS
ASTERDM,ASTER DM HEALTHCARE LIMITED (XNSE:ASTERDM),1202327.94,ASTERDM.NS
RHIM,RHI Magnesita India Limited (XNSE:RHIM),1184940.87,RHIM.NS
KEC,KEC INTERNATIONAL LIMITED (XBOM:532714),1173222.78,KEC.NS
SONATSOFTW,SONATA SOFTWARE LIMITED (XNSE:SONATSOFTW),1172596.37,SONATSOFTW.NS
AETHER,AETHER INDUSTRIES LIMITED (XNSE:AETHER),1166105.16,AETHER.NS
DCMSHRIRAM,DCM SHRIRAM LIMITED (XNSE:DCMSHRIRAM),1165512.72,DCMSHRIRAM.NS
IEX,INDIAN ENERGY EXCHANGE LIMITED (XBOM:540750),1140920.85,IEX.NS
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED (XNSE:HAPPSTMNDS),1127691.81,HAPPSTMNDS.NS
KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED (XBOM:543308),1121549.42,KIMS.NS
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED (XNSE:ALKYLAMINE),1101422.94,ALKYLAMINE.NS
CYIENT,Cyient Limited (XNSE:CYIENT),1100497.75,CYIENT.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099204.94,CHAMBLFERT.NS
ASAHIINDIA,ASAHI INDIA GLASS LIMITED (XNSE:ASAHIINDIA),1099131.12,ASAHIINDIA.NS
CASTROLIND,CASTROL INDIA LIMITED (XNSE:CASTROLIND),1097431.29,CASTROLIND.NS
BRIGADE,BRIGADE ENTERPRISES LIMITED (XNSE:BRIGADE),1095283.15,BRIGADE.NS
KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED (XNSE:KALYANKJIL),1085160.9,KALYANKJIL.NS
TTML,Tata Teleservices (Maharashtra) Limited,1084007.42,TTML.NS
VGUARD,V-Guard Industries Limited,1080457.95,VGUARD.NS
NLCINDIA,NLC INDIA LIMITED (XNSE:NLCINDIA),1069790.14,NLCINDIA.NS
LAXMIMACH,LAKSHMI MACHINE WORKS LIMITED (XNSE:LAXMIMACH),1066409.11,LAXMIMACH.NS
TRITURBINE,TRIVENI TURBINE LIMITED (XNSE:TRITURBINE),1059006.94,TRITURBINE.NS
FINPIPE,FINOLEX INDUSTRIES LIMITED (XNSE:FINPIPE),1058533.6,FINPIPE.NS
AKZOINDIA,Akzo Nobel India Limited (XNSE:AKZOINDIA),1047677.69,AKZOINDIA.NS
MANAPPURAM,MANAPPURAM FINANCE LIMITED (XNSE:MANAPPURAM),1046990.28,MANAPPURAM.NS
EIHOTEL,EIH LIMITED (XNSE:EIHOTEL),1035915.77,EIHOTEL.NS
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LTD. (XNSE:CENTURYPLY),1035770.48,CENTURYPLY.NS
NATCOPHARM,NATCO PHARMA LIMITED (XNSE:NATCOPHARM),1028435.79,NATCOPHARM.NS
KIOCL,KIOCL LIMITED (XNSE:KIOCL),1024364.47,KIOCL.NS
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED (XNSE:CHOLAHLDNG),1022732.49,CHOLAHLDNG.NS
CAMPUS,CAMPUS ACTIVEWEAR LIMITED (XBOM:543523),1015519.36,CAMPUS.NS
CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED (XBOM:543232),995035.44,CAMS.NS
AMARAJABAT,AMARA RAJA BATTERIES LIMITED (XNSE:AMARAJABAT),989175.19,AMARAJABAT.NS
ZYDUSWELL,ZYDUS WELLNESS LIMITED (XNSE:ZYDUSWELL),986489.13,ZYDUSWELL.NS
BASF,BASF INDIA LIMITED (XNSE:BASF),985008.02,BASF.NS
TEJASNET,TEJAS NETWORKS LIMITED (XNSE:TEJASNET),977791.35,TEJASNET.NS
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED (XNSE:APLLTD),975641.07,APLLTD.NS
MGL,MAHANAGAR GAS LIMITED (XNSE:MGL),971430.06,MGL.NS
GRINFRA,G R INFRAPROJECTS LIMITED (XNSE:GRINFRA),971337.79,GRINFRA.NS
ANGELONE,ANGEL ONE LIMITED (XNSE:ANGELONE),970011.55,ANGELONE.NS
SFL,SHEELA FOAM LIMITED (XNSE:SFL),969704.66,SFL.NS
TTKPRESTIG,TTK PRESTIGE LIMITED (XNSE:TTKPRESTIG),969119.92,TTKPRESTIG.NS
APARINDS,APAR INDUSTRIES LIMITED (XNSE:APARINDS),958590.64,APARINDS.NS
HINDCOPPER,HINDUSTAN COPPER LTD (XNSE:HINDCOPPER),951068.12,HINDCOPPER.NS
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED (XNSE:CDSL),949643.75,CDSL.NS
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED (XNSE:GODFRYPHLP),946159.36,GODFRYPHLP.NS
RENUKA,SHREE RENUKA SUGARS LIMITED (XNSE:RENUKA),938663.99,RENUKA.NS
CUB,CITY UNION BANK LIMITED (XNSE:CUB),931814.02,CUB.NS
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED (XNSE:JKLAKSHMI),931240.9,JKLAKSHMI.NS
ANURAS,ANUPAM RASAYAN INDIA LIMITED (XNSE:ANURAS),929945.06,ANURAS.NS
MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED (XBOM:500109),920990.66,MRPL.NS
GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED (XNSE:GESHIP),920205.74,GESHIP.NS
POLYMED,POLY MEDICURE LIMITED (XNSE:POLYMED),914013.77,POLYMED.NS
NSLNISP,NMDC STEEL LIMITED (XNSE:NSLNISP),909953.12,NSLNISP.NS
BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED (XNSE:BIKAJI),904722.82,BIKAJI.NS
MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED (XNSE:MOTILALOFS),902921.31,MOTILALOFS.NS
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED (XNSE:ABSLAMC),896256,ABSLAMC.NS
CESC,CESC LTD (XNSE:CESC),883492.69,CESC.NS
TATAINVEST,TATA INVESTMENT CORPORATION LIMITED (XNSE:TATAINVEST),882736.13,TATAINVEST.NS
ALLCARGO,ALLCARGO LOGISTICS LIMITED (XNSE:ALLCARGO),873816.13,ALLCARGO.NS
PNBHOUSING,PNB HOUSING FINANCE LIMITED (XNSE:PNBHOUSING),866321.22,PNBHOUSING.NS
HUDCO,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED (XNSE:HUDCO),865821.75,HUDCO.NS
ITI,ITI LIMITED (XNSE:ITI),856043.98,ITI.NS
ROUTE,Route Mobile Ltd (XNSE:ROUTE),852911.9,ROUTE.NS
RITES,RITES LIMITED (XNSE:RITES),851990.34,RITES.NS
VTL,VARDHMAN TEXTILES LIMITED (XNSE:VTL),849166.15,VTL.NS
RBLBANK,RBL BANK LIMITED (XNSE:RBLBANK),845960.91,RBLBANK.NS
HFCL,HFCL LIMITED (XNSE:HFCL),839743.7,HFCL.NS
KARURVYSYA,THE KARUR VYSYA BANK LIMITED (XNSE:KARURVYSYA),837095.73,KARURVYSYA.NS
CERA,CERA SANITARYWARE LIMITED (XNSE:CERA),832772.62,CERA.NS
EIDPARRY,EID Parry India Limited,832024.95,EIDPARRY.NS
INGERRAND,INGERSOLL-RAND (INDIA) LIMITED (XNSE:INGERRAND),826750.14,INGERRAND.NS
GALAXYSURF,GALAXY SURFACTANTS LTD (XNSE:GALAXYSURF),825882.99,GALAXYSURF.NS
PPLPHARMA,PIRAMAL PHARMA LIMITED (XNSE:PPLPHARMA),816826.51,PPLPHARMA.NS
UTIAMC,UTI ASSET MANAGEMENT COMPANY LIMITED (XBOM:543238),815164.33,UTIAMC.NS
KRBL,KRBL LIMITED (XNSE:KRBL),813978.25,KRBL.NS
RAYMOND,RAYMOND LIMITED (XNSE:RAYMOND),813564.28,RAYMOND.NS
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED (XNSE:ASTRAZEN),813200,ASTRAZEN.NS
VIPIND,VIP Industries Limited,811259.53,VIPIND.NS
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED (XNSE:ACI),800398.17,ACI.NS
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD (XNSE:BALRAMCHIN),799363.03,BALRAMCHIN.NS
SUZLON,SUZLON ENERGY LIMITED (XNSE:SUZLON),795773.88,SUZLON.NS
GODREJAGRO,GODREJ AGROVET LIMITED (XNSE:GODREJAGRO),793047.99,GODREJAGRO.NS
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED (XNSE:GNFC),791625.57,GNFC.NS
ERIS,ERIS LIFESCIENCES LIMITED (XNSE:ERIS),778011.59,ERIS.NS
PGHL,PROCTER & GAMBLE HEALTH LIMITED (XNSE:PGHL),777855.34,PGHL.NS
MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED (XNSE:MEDPLUS),775128.98,MEDPLUS.NS
SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED (XNSE:SAPPHIRE),774011.69,SAPPHIRE.NS
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED (XNSE:DATAPATTNS),770171.46,DATAPATTNS.NS
SUNCLAYLTD,SUNDARAM -CLAYTON LIMITED (XNSE:SUNCLAYLTD),762425.89,SUNCLAYLTD.NS
JBMA,JBM AUTO LIMITED (XNSE:JBMA),761511.54,JBMA.NS
EASEMYTRIP,EASY TRIP PLANNERS LIMITED (XNSE:EASEMYTRIP),757907.52,EASEMYTRIP.NS
CCL,CCL PRODUCTS (INDIA) LIMITED (XNSE:CCL),755132.99,CCL.NS
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED (XNSE:EQUITASBNK),745184.52,EQUITASBNK.NS
CHALET,CHALET HOTELS LIMITED (XNSE:CHALET),744547.79,CHALET.NS
RAINBOW,Rainbow Childrens Medicare Limited,741469.82,RAINBOW.NS
PNCINFRA,PNC INFRATECH LIMITED (XNSE:PNCINFRA),741141.65,PNCINFRA.NS
FSL,Firstsource Solutions Limited (XNSE:FSL),735325.32,FSL.NS
KSB,KSB LIMITED (XNSE:KSB),729154.72,KSB.NS
BSOFT,BIRLASOFT LIMITED (XNSE:BSOFT),717824.43,BSOFT.NS
KNRCON,KNR CONSTRUCTIONS LIMITED (XNSE:KNRCON),713492.18,KNRCON.NS
SHOPERSTOP,SHOPPERS STOP LIMITED (XNSE:SHOPERSTOP),711340.36,SHOPERSTOP.NS
SYMPHONY,SYMPHONY LIMITED (XNSE:SYMPHONY),709468.92,SYMPHONY.NS
CENTURYTEX,Century Textiles & Industries Limited,708150.61,CENTURYTEX.NS
CANFINHOME,CAN FIN HOMES LIMITED (XNSE:CANFINHOME),704651.63,CANFINHOME.NS
GRANULES,GRANULES INDIA LIMITED (XNSE:GRANULES),703618.29,GRANULES.NS
TANLA,TANLA PLATFORMS LIMITED (XNSE:TANLA),703249.87,TANLA.NS
JYOTHYLAB,JYOTHY LABS LIMITED (XNSE:JYOTHYLAB),699532.47,JYOTHYLAB.NS
SPLPETRO,SUPREME PETROCHEM LIMITED (XNSE:SPLPETRO),696317.09,SPLPETRO.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692666.95,DEEPAKFERT.NS
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED (XNSE:CRAFTSMAN),687789.91,CRAFTSMAN.NS
BIRLACORPN,BIRLA CORPORATION LIMITED (XNSE:BIRLACORPN),685501.6,BIRLACORPN.NS
BLS,BLS INTERNATIONAL SERVICES LIMITED (XNSE:BLS),680728.74,BLS.NS
SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED (XNSE:SHYAMMETL),670479.59,SHYAMMETL.NS
NCC,NCC Limited,666145.23,NCC.NS
GMMPFAUDLR,GMM PFAUDLER LIMITED (XNSE:GMMPFAUDLR),659072.9,GMMPFAUDLR.NS
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED (XNSE:LATENTVIEW),657938.74,LATENTVIEW.NS
USHAMART,USHA MARTIN LIMITED (XNSE:USHAMART),653671.12,USHAMART.NS
HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED (XNSE:HOMEFIRST),653568.5,HOMEFIRST.NS
JKPAPER,JK PAPER LIMITED (XNSE:JKPAPER),646608.75,JKPAPER.NS
TMB,TAMILNAD MERCANTILE BANK LIMITED (XNSE:TMB),645440.53,TMB.NS
JINDWORLD,JINDAL WORLDWIDE LIMITED (XNSE:JINDWORLD),643169.18,JINDWORLD.NS
METROPOLIS,METROPOLIS HEALTHCARE LIMITED (XBOM:542650),639262.72,METROPOLIS.NS
SAREGAMA,SAREGAMA INDIA LIMITED (XBOM:532163),638488.63,SAREGAMA.NS
NBCC,NBCC (India) Limited,638100,NBCC.NS
ECLERX,ECLERX SERVICES LIMITED (XBOM:532927),632623.25,ECLERX.NS
BALAMINES,BALAJI AMINES LIMITED (XNSE:BALAMINES),629648.63,BALAMINES.NS
WELSPUNIND,WELSPUN INDIA LIMITED (XNSE:WELSPUNIND),628899.23,WELSPUNIND.NS
PRAJIND,PRAJ INDUSTRIES LIMITED (XNSE:PRAJIND),626461.63,PRAJIND.NS
COCHINSHIP,COCHIN SHIPYARD LIMITED (XNSE:COCHINSHIP),625803.41,COCHINSHIP.NS
ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED (XNSE:ZENSARTECH),621067.07,ZENSARTECH.NS
AMBER,AMBER ENTERPRISES INDIA LIMITED (XNSE:AMBER),614775.82,AMBER.NS
LEMONTREE,LEMON TREE HOTELS LIMITED (XNSE:LEMONTREE),612010.39,LEMONTREE.NS
PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED (XNSE:PRINCEPIPE),599793.85,PRINCEPIPE.NS
TRIVENI,TRIVENI ENTERPRISES LIMITED (XBOM:538569),593541.84,TRIVENI.NS
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED (XNSE:GARFIBRES),593035.29,GARFIBRES.NS
LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED (XNSE:LXCHEM),590658.21,LXCHEM.NS
STLTECH,STERLITE TECHNOLOGIES LIMITED (XNSE:STLTECH),587870.1,STLTECH.NS
CEATLTD,CEAT LIMITED (XNSE:CEATLTD),586748.81,CEATLTD.NS
BSE,BSE Limited (XNSE:BSE),583777.33,BSE.NS
SPARC,Sun Pharma Advanced Research Company Limited,581989.96,SPARC.NS
ALOKINDS,ALOK INDUSTRIES LIMITED (XNSE:ALOKINDS),575967.89,ALOKINDS.NS
ORIENTELEC,ORIENT ELECTRIC LIMITED (XNSE:ORIENTELEC),575159.42,ORIENTELEC.NS
INDIACEM,THE INDIA CEMENTS LIMITED (XNSE:INDIACEM),573464.77,INDIACEM.NS
JUBLINGREA,JUBILANT INGREVIA LIMITED (XNSE:JUBLINGREA),573332.46,JUBLINGREA.NS
KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED (XNSE:KIRLOSENG),573210.91,KIRLOSENG.NS
TCIEXP,TCI EXPRESS LIMITED (XNSE:TCIEXP),571973.78,TCIEXP.NS
JMFINANCIL,JM FINANCIAL LIMITED (XNSE:JMFINANCIL),569053.1,JMFINANCIL.NS
NETWORK18,Network18 Media & Investments Limited (XNSE:NETWORK18),567969.57,NETWORK18.NS
BBTC,THE BOMBAY BURMAH TRADING CORPORATION LIMITED (XNSE:BBTC),566094.31,BBTC.NS
SWANENERGY,SWAN ENERGY LIMITED (XNSE:SWANENERGY),564254.55,SWANENERGY.NS
GPPL,GUJARAT PIPAVAV PORT LIMITED (XBOM:533248),562965.78,GPPL.NS
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED (XNSE:KAYNES),559795.95,KAYNES.NS
VRLLOG,VRL LOGISTICS LIMITED (XNSE:VRLLOG),558860.95,VRLLOG.NS
INTELLECT,INTELLECT DESIGN ARENA LIMITED (XNSE:INTELLECT),557276.89,INTELLECT.NS
SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED (XNSE:SWSOLAR),553145.76,SWSOLAR.NS
CHEMPLASTS,Chemplast Sanmar Ltd (XNSE:CHEMPLASTS),549984.15,CHEMPLASTS.NS
QUESS,QUESS CORP LIMITED (XBOM:539978),547804.24,QUESS.NS
ROLEXRINGS,ROLEX RINGS LIMITED (XNSE:ROLEXRINGS),545265.37,ROLEXRINGS.NS
MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED (XNSE:MAHLIFE),544509.09,MAHLIFE.NS
ESABINDIA,ESAB INDIA LIMITED (XNSE:ESABINDIA),543812.31,ESABINDIA.NS
MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED (XNSE:MHRIL),543037.07,MHRIL.NS
GOCOLORS,GO FASHION (INDIA) LIMITED (XNSE:GOCOLORS),542601.26,GOCOLORS.NS
HGS,HINDUJA GLOBAL SOLUTIONS LIMITED (XNSE:HGS),540801.37,HGS.NS
BORORENEW,BOROSIL RENEWABLES LIMITED (XNSE:BORORENEW),536151.77,BORORENEW.NS
GAEL,GUJARAT AMBUJA EXPORTS LIMITED (XNSE:GAEL),532860.64,GAEL.NS
MAPMYINDIA,C.E. Info Systems Limited,532475.84,MAPMYINDIA.NS
PRSMJOHNSN,PRISM JOHNSON LIMITED (XNSE:PRSMJOHNSN),530286.16,PRSMJOHNSN.NS
RUSTOMJEE,KEYSTONE REALTORS LIMITED (XNSE:RUSTOMJEE),527423.28,RUSTOMJEE.NS
IRCON,Ircon International Ltd (XBOM:541956),526688.81,IRCON.NS
RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED (XBOM:524230),526034.6,RCF.NS
WELCORP,WELSPUN CORP LIMITED (XNSE:WELCORP),524366.44,WELCORP.NS
BEML,BEML LIMITED (XBOM:500048),523637.94,BEML.NS
GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED (XNSE:GRSE),521669.81,GRSE.NS
EPL,EPL LIMITED (XNSE:EPL),516229.05,EPL.NS
MINDACORP,MINDA CORPORATION LIMITED (XNSE:MINDACORP),514379.39,MINDACORP.NS
GRAPHITE,GRAPHITE INDIA LIMITED (XNSE:GRAPHITE),512958.62,GRAPHITE.NS
HGINFRA,H.G. Infra Engineering Limited,510094.29,HGINFRA.NS
OLECTRA,OLECTRA GREENTECH LIMITED (XNSE:OLECTRA),508284.96,OLECTRA.NS
RELINFRA,RELIANCE INFRASTRUCTURE LIMITED (XNSE:RELINFRA),507457.08,RELINFRA.NS
JUSTDIAL,JUST DIAL LIMITED (XNSE:JUSTDIAL),501835.3,JUSTDIAL.NS
RAIN,RAIN INDUSTRIES LIMITED (XNSE:RAIN),501323.23,RAIN.NS
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED (XNSE:IONEXCHANG),500712.4,IONEXCHANG.NS
EDELWEISS,Edelweiss Financial Services Limited (XNSE:EDELWEISS),496071.24,EDELWEISS.NS
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED (XNSE:UJJIVANSFB),493534.6,UJJIVANSFB.NS
TV18BRDCST,TV18 Broadcast Limited (XNSE:TV18BRDCST),492878.55,TV18BRDCST.NS
GPIL,GODAWARI POWER AND ISPAT LIMITED (XNSE:GPIL),491757.06,GPIL.NS
MTARTECH,MTAR TECHNOLOGIES LIMITED (XNSE:MTARTECH),486478.31,MTARTECH.NS
TCI,TRANSPORT CORPORATION OF INDIA LIMITED (XNSE:TCI),486206.49,TCI.NS
RTNINDIA,RATTANINDIA ENTERPRISES LIMITED (XNSE:RTNINDIA),485867.76,RTNINDIA.NS
VSTIND,VST INDUSTRIES LIMITED (XNSE:VSTIND),485733.31,VSTIND.NS
SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED (XBOM:523025),485571.65,SAFARI.NS
ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED (XNSE:ACE),484549.52,ACE.NS
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD (XNSE:MAHSCOOTER),483811.28,MAHSCOOTER.NS
DELTACORP,DELTA CORP LIMITED (XNSE:DELTACORP),483347.37,DELTACORP.NS
GLS,GLENMARK LIFE SCIENCES LIMITED (XNSE:GLS),481409.26,GLS.NS
GHCL,GHCL LIMITED (XNSE:GHCL),481322.23,GHCL.NS
INDIGOPNTS,Indigo Paints Ltd (XNSE:INDIGOPNTS),479856.44,INDIGOPNTS.NS
MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED (XNSE:MAHSEAMLES),479114.33,MAHSEAMLES.NS
SUPRAJIT,SUPRAJIT ENGINEERING LIMITED (XNSE:SUPRAJIT),477177.66,SUPRAJIT.NS
KFINTECH,KFIN TECHNOLOGIES LIMITED (XNSE:KFINTECH),474263.43,KFINTECH.NS
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED (XNSE:GSFC),474188.26,GSFC.NS
J&KBANK,The Jammu & Kashmir Bank Limited,471605.87,J&KBANK.NS
RELIGARE,RELIGARE ENTERPRISES LIMITED (XNSE:RELIGARE),469161.22,RELIGARE.NS
MASTEK,MASTEK LIMITED (XNSE:MASTEK),469143.55,MASTEK.NS
SIS,SIS LIMITED (XNSE:SIS),467281.45,SIS.NS
JINDALSAW,JINDAL SAW LIMITED (XNSE:JINDALSAW),466521.26,JINDALSAW.NS
TEGA,TEGA INDUSTRIES LIMITED (XNSE:TEGA),465440.92,TEGA.NS
SYRMA,SYRMA SGS TECHNOLOGY LIMITED (XNSE:SYRMA),464130.22,SYRMA.NS
AVANTIFEED,AVANTI FEEDS LIMITED (XNSE:AVANTIFEED),462485.79,AVANTIFEED.NS
STARCEMENT,STAR CEMENT LIMITED (XNSE:STARCEMENT),461301.83,STARCEMENT.NS
IBULHSGFIN,INDIABULLS HOUSING FINANCE LIMITED (XNSE:IBULHSGFIN),459099.32,IBULHSGFIN.NS
RKFORGE,RAMKRISHNA FORGINGS LTD (XNSE:RKFORGE),457443.96,RKFORGE.NS
CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED (XNSE:CAPLIPOINT),452342.41,CAPLIPOINT.NS
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED (XNSE:VAIBHAVGBL),450208.77,VAIBHAVGBL.NS
RBA,RESTAURANT BRANDS ASIA LIMITED (XNSE:RBA),445580.17,RBA.NS
JUBLPHARMA,JUBILANT PHARMOVA LIMITED (XNSE:JUBLPHARMA),444155.46,JUBLPHARMA.NS
NIITLTD,NIIT LIMITED (XNSE:NIITLTD),439150.79,NIITLTD.NS
PCBL,PCBL LIMITED (XNSE:PCBL),438234.08,PCBL.NS
MASFIN,MAS FINANCIAL SERVICES LIMITED (XNSE:MASFIN),438116.27,MASFIN.NS
SCI,SHIPPING CORPORATION OF INDIA LIMITED (XNSE:SCI),435987.87,SCI.NS
PDSL,PDS LIMITED (XNSE:PDSL),434876.42,PDSL.NS
GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED (XNSE:GUJALKALI),429764.83,GUJALKALI.NS
ELECON,ELECON ENGINEERING COMPANY LIMITED (XNSE:ELECON),428772.17,ELECON.NS
CMSINFO,CMS INFO SYSTEMS LIMITED (XNSE:CMSINFO),427611.02,CMSINFO.NS
VMART,V-MART RETAIL LIMITED (XNSE:VMART),427539.97,VMART.NS
ICRA,ICRA LIMITED (XNSE:ICRA),426811.21,ICRA.NS
JSWHL,JSW HOLDINGS LIMITED (XNSE:JSWHL),425925.91,JSWHL.NS
FDC,FDC LIMITED (XNSE:FDC),425227.55,FDC.NS
CSBBANK,CSB BANK LIMITED (XNSE:CSBBANK),425213.76,CSBBANK.NS
KTKBANK,THE KARNATAKA BANK LIMITED (XNSE:KTKBANK),423778.11,KTKBANK.NS
MMTC,MMTC LIMITED (XNSE:MMTC),418500,MMTC.NS
ENGINERSIN,ENGINEERS INDIA LIMITED (XNSE:ENGINERSIN),418440.55,ENGINERSIN.NS
SUNTECK,SUNTECK REALTY LIMITED (XNSE:SUNTECK),417024.91,SUNTECK.NS
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED (XNSE:PRIVISCL),410783.42,PRIVISCL.NS
PARADEEP,PARADEEP PHOSPHATES LTD (XNSE:PARADEEP),410506.8,PARADEEP.NS
SOBHA,SOBHA LIMITED (XNSE:SOBHA),408406.24,SOBHA.NS
FUSION,FUSION MICRO FINANCE LIMITED (XNSE:FUSION),403277.67,FUSION.NS
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED (XNSE:GMDCLTD),402588,GMDCLTD.NS
VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED (XNSE:VIJAYA),399404.51,VIJAYA.NS
JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED (XNSE:JAMNAAUTO),397227.7,JAMNAAUTO.NS
ANANTRAJ,Anant Raj Limited (XNSE:ANANTRAJ),395883.67,ANANTRAJ.NS
SANSERA,SANSERA ENGINEERING LIMITED (XNSE:SANSERA),395621.85,SANSERA.NS
MFL,MEGHMANI FINECHEM LIMITED (XNSE:MFL),392088.07,MFL.NS
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED (XNSE:AHLUCONT),386283.76,AHLUCONT.NS
